stamp,x,y,yaw
1518461426.3751010895,-1852.5646080206,-605.1107355102,0.7030527612
1518461426.5754375458,-1851.4524180330,-604.1785040023,0.7005153241
1518461426.7758791447,-1850.3395249343,-603.2477689012,0.6977568797
1518461426.9750499725,-1849.2278184540,-602.3258048867,0.6964642003
1518461427.1751737595,-1848.1133895683,-601.3992651825,0.6975219490
1518461427.3750219345,-1846.9979466436,-600.4712782445,0.6956812415
1518461427.5759382248,-1845.8781648085,-599.5383812385,0.6956280563
1518461427.7751007080,-1844.7746112422,-598.6154008069,0.6971433842
1518461427.9751565456,-1843.6603288130,-597.6858818092,0.6975408197
1518461428.1770067215,-1842.5418768865,-596.7448614144,0.7002906619
1518461428.3749310970,-1841.4473111570,-595.8178340921,0.7011789549
1518461428.5748496056,-1840.3431836435,-594.8835869625,0.7043040760
1518461428.7760930061,-1839.2262856164,-593.9294311368,0.7065523016
1518461428.9755980968,-1838.1278152716,-592.9908451964,0.7098281553
1518461429.1754231453,-1837.0243201108,-592.0505848563,0.7103312092
1518461429.3753941059,-1835.9325542442,-591.1020129484,0.7131821441
1518461429.5754356384,-1834.8355494462,-590.1612256827,0.7128566498
1518461429.7752254009,-1833.7428217283,-589.2116529263,0.7156204737
1518461429.9755187035,-1832.6516030197,-588.2534575130,0.7180358781
1518461430.1755011082,-1831.5645879560,-587.2965469458,0.7204631420
1518461430.3756623268,-1830.4793741770,-586.3406100765,0.7244591042
1518461430.5752115250,-1829.4028604592,-585.3893571174,0.7263660923
1518461430.7756724358,-1828.3262751683,-584.4336351676,0.7284245750
1518461430.9757156372,-1827.2520980232,-583.4775515235,0.7264032878
1518461431.1748583317,-1826.1841622538,-582.5327159502,0.7245715224
1518461431.3747169971,-1825.1129832779,-581.5915118697,0.7212031412
1518461431.5753455162,-1824.0379239996,-580.6492898107,0.7169764207
1518461431.7752010822,-1822.9657178098,-579.7212604873,0.7089999775
1518461431.9749484062,-1821.8977165517,-578.8039481009,0.7079427971
1518461432.1756088734,-1820.8291063963,-577.8852281262,0.7034860277
1518461432.3751039505,-1819.7679243872,-576.9811832776,0.7040906816
1518461432.5755381584,-1818.7090474437,-576.0749808189,0.7045981055
1518461432.7762360573,-1817.6479860012,-575.1704992966,0.7016769305
1518461432.9755635262,-1816.6003734449,-574.2746985554,0.7049178654
1518461433.1756899357,-1815.5574173209,-573.3750968356,0.7093412961
1518461433.3748550415,-1814.5186442364,-572.4738622258,0.7103985144
1518461433.5753080845,-1813.4834360729,-571.5702988087,0.7171682609
1518461433.7752277851,-1812.4592727074,-570.6601869434,0.7254503015
1518461433.9754738808,-1811.4363069156,-569.7401052235,0.7297918483
1518461434.1754665375,-1810.4314436866,-568.8230844644,0.7401453855
1518461434.3746798038,-1809.4428013391,-567.9004202158,0.7523734970
1518461434.5752694607,-1808.4519425141,-566.9728056502,0.7594090990
1518461434.7756035328,-1807.4703663708,-566.0424510364,0.7677441339
1518461434.9756119251,-1806.5063451896,-565.1114200213,0.7738811325
1518461435.1756517887,-1805.5505807523,-564.1691628073,0.7742898108
1518461435.3755037785,-1804.5993566375,-563.2344847927,0.7698107565
1518461435.5750143528,-1803.6455595710,-562.3136742967,0.7663223064
1518461435.7753257751,-1802.6793514050,-561.3889366789,0.7578733774
1518461435.9757010937,-1801.7088202616,-560.4818136823,0.7473013343
1518461436.1749105453,-1800.7367813042,-559.5883458619,0.7388804406
1518461436.3753910065,-1799.7495908829,-558.7039260026,0.7269564312
1518461436.5750067234,-1798.7564315360,-557.8367234745,0.7157951073
1518461436.7756845951,-1797.7528652128,-556.9720823638,0.7091493838
1518461436.9753918648,-1796.7474032957,-556.1245406879,0.7005472389
1518461437.1755347252,-1795.7367221509,-555.2842013258,0.6944858087
1518461437.3748326302,-1794.7285228528,-554.4555913483,0.6902415067
1518461437.5748503208,-1793.7165082665,-553.6310840460,0.6856621943
1518461437.7749817371,-1792.7058772417,-552.8131142178,0.6832254143
1518461437.9756522179,-1791.6961433263,-551.9962663771,0.6825731122
1518461438.1754498482,-1790.6954822307,-551.1880495772,0.6816423581
1518461438.3752930164,-1789.6938179147,-550.3860492905,0.6795778374
1518461438.5752549171,-1788.6965026502,-549.5905505831,0.6789423690
1518461438.7808973789,-1787.6780052209,-548.7745516389,0.6783030906
1518461438.9750673771,-1786.7215949858,-548.0066114252,0.6778658795
1518461439.1757142544,-1785.7360459741,-547.2203520181,0.6779419970
1518461439.3754091263,-1784.7614797819,-546.4352509641,0.6783986284
1518461439.5755701065,-1783.7852297646,-545.6553708822,0.6774297942
1518461439.7755548954,-1782.8120860126,-544.8762567989,0.6765312768
1518461439.9753417969,-1781.8432248574,-544.1013961790,0.6742881509
1518461440.1752972603,-1780.8697350562,-543.3339914097,0.6711278536
1518461440.3752353191,-1779.8990027908,-542.5694352985,0.6684670218
1518461440.5750741959,-1778.9346858924,-541.8107163170,0.6673886407
1518461440.7754004002,-1777.9713151489,-541.0556763718,0.6672902404
1518461440.9747030735,-1777.0147574267,-540.3053575402,0.6633082610
1518461441.1753294468,-1776.0581446239,-539.5655825771,0.6615910238
1518461441.3751254082,-1775.1108155209,-538.8299669287,0.6604954234
1518461441.5753207207,-1774.1626161778,-538.1001603938,0.6573246868
1518461441.7751572132,-1773.2256311377,-537.3788604151,0.6566362015
1518461441.9753112793,-1772.2906214341,-536.6613293980,0.6560695013
1518461442.1750683784,-1771.3665798536,-535.9484866784,0.6556357416
1518461442.3757123947,-1770.4539456580,-535.2441622435,0.6582826676
1518461442.5751442909,-1769.5533026389,-534.5461481293,0.6585570590
1518461442.7750973701,-1768.6481422043,-533.8522673803,0.6532180354
1518461442.9749491215,-1767.7584861116,-533.1639245591,0.6576149338
1518461443.1747269630,-1766.8823660474,-532.4780447152,0.6613095808
1518461443.3749489784,-1766.0063495069,-531.7928653996,0.6638998788
1518461443.5752048492,-1765.1438935867,-531.1130457056,0.6684124941
1518461443.7752089500,-1764.2938967222,-530.4365194554,0.6739509957
1518461443.9757421017,-1763.4528670543,-529.7597137481,0.6784409117
1518461444.1754596233,-1762.6289561538,-529.0941359330,0.6820183047
1518461444.3746893406,-1761.8177930654,-528.4364018105,0.6836022930
1518461444.5751812458,-1761.0085381278,-527.7719740439,0.6875946152
1518461444.7752170563,-1760.2031123298,-527.1091769654,0.6928946116
1518461444.9750974178,-1759.4085345730,-526.4546189903,0.6941652015
1518461445.1751561165,-1758.6218710920,-525.7996630480,0.6983500556
1518461445.3751101494,-1757.8427655789,-525.1492584314,0.7014199470
1518461445.5749452114,-1757.0687925583,-524.5024308685,0.7015250643
1518461445.7754292488,-1756.2979937107,-523.8546561685,0.7039643780
1518461445.9755666256,-1755.5361514309,-523.2115809315,0.7037550739
1518461446.1755185127,-1754.7818987552,-522.5724490658,0.7046180869
1518461446.3752300739,-1754.0316847395,-521.9376557584,0.7056308586
1518461446.5753691196,-1753.2865204101,-521.3046471728,0.7070454073
1518461446.7754549980,-1752.5448555237,-520.6804592966,0.7060009270
1518461446.9748985767,-1751.8115630907,-520.0570273939,0.7058995147
1518461447.1755294800,-1751.0781945455,-519.4354350552,0.7055690587
1518461447.3756392002,-1750.3509711767,-518.8184001913,0.7058049884
1518461447.5748431683,-1749.6307557597,-518.2098204459,0.7040205151
1518461447.7756097317,-1748.9103532395,-517.5984255032,0.7048363786
1518461447.9746885300,-1748.1993517667,-516.9979986289,0.7039665409
1518461448.1749217510,-1747.4879182814,-516.3959575230,0.7014623798
1518461448.3754816055,-1746.7751614561,-515.7997325155,0.6945462444
1518461448.5751342773,-1746.0676594402,-515.2171779513,0.6873236687
1518461448.7756028175,-1745.3578646679,-514.6388536241,0.6798705672
1518461448.9755594730,-1744.6514113956,-514.0761724183,0.6691656157
1518461449.1755645275,-1743.9487901272,-513.5293648986,0.6621141550
1518461449.3750207424,-1743.2624920455,-513.0002848023,0.6594979144
1518461449.5756714344,-1742.5963326219,-512.4804719846,0.6634015407
1518461449.7757005692,-1741.9410783101,-511.9707523823,0.6647166503
1518461449.9747226238,-1741.3066816791,-511.4781026286,0.6665243132
1518461450.1748540401,-1740.6865080197,-510.9939019827,0.6638649562
1518461450.3757219315,-1740.0692889313,-510.5126887224,0.6650996550
1518461450.5755662918,-1739.4751444142,-510.0475333808,0.6643375733
1518461450.7753179073,-1738.8995876015,-509.5976072909,0.6652093490
1518461450.9750998020,-1738.3416521510,-509.1605663178,0.6654340390
1518461451.1754446030,-1737.7964871550,-508.7341927394,0.6651245011
1518461451.3753299713,-1737.2644843285,-508.3203430441,0.6654250957
1518461451.5751411915,-1736.7442943105,-507.9137179059,0.6659914130
1518461451.7777090073,-1736.2274421388,-507.5104650057,0.6656927410
1518461451.9751014709,-1735.7340034721,-507.1260901003,0.6659124905
1518461452.1746938229,-1735.2483173180,-506.7427331147,0.6691053270
1518461452.3753354549,-1734.7717837611,-506.3672103937,0.6702090369
1518461452.5754423141,-1734.3146032416,-506.0067793100,0.6714310490
1518461452.7748107910,-1733.8787948748,-505.6630560212,0.6722417627
1518461452.9746954441,-1733.4633597886,-505.3360779989,0.6735489934
1518461453.1750085354,-1733.0696011683,-505.0195942801,0.6747512920
1518461453.3751802444,-1732.6948655148,-504.7194092224,0.6752143462
1518461453.5755693913,-1732.3369191281,-504.4332126948,0.6771394370
1518461453.7755615711,-1731.9955173998,-504.1562098205,0.6778811124
1518461453.9750862122,-1731.6657335783,-503.8894563207,0.6788274486
1518461454.1751000881,-1731.3455654246,-503.6287562593,0.6798207066
1518461454.3756382465,-1731.0362290799,-503.3774673082,0.6817907101
1518461454.5755424500,-1730.7382609398,-503.1342022867,0.6820898743
1518461454.7756226063,-1730.4533517740,-502.9006321544,0.6841846968
1518461454.9747452736,-1730.1920078019,-502.6859536434,0.6863183285
1518461455.1751427650,-1729.9538691603,-502.4873344502,0.6886261481
1518461455.3751811981,-1729.7390130463,-502.3098618151,0.6890133688
1518461455.5752437115,-1729.5453850747,-502.1501718523,0.6900204923
1518461455.7755610943,-1729.3618523888,-501.9982850866,0.6905230985
1518461455.9750642776,-1729.1777492815,-501.8437507782,0.6919557893
1518461456.1752979755,-1728.9892217343,-501.6854962739,0.6927978705
1518461456.3753893375,-1728.7973278348,-501.5252138589,0.6936080354
1518461456.5753321648,-1728.6038901540,-501.3645216154,0.6933646838
1518461456.7751660347,-1728.4156469582,-501.2068617766,0.6932777100
1518461456.9751927853,-1728.2336924078,-501.0535501928,0.6937382718
1518461457.1749691963,-1728.0594981579,-500.9073609120,0.6938810048
1518461457.3752789497,-1727.8915191666,-500.7672594796,0.6944153749
1518461457.5752229691,-1727.7227779717,-500.6253530491,0.6946145030
1518461457.7746758461,-1727.5485430787,-500.4786318449,0.6952743034
1518461457.9746992588,-1727.3648001977,-500.3235595693,0.6956762549
1518461458.1749773026,-1727.1608085771,-500.1508641366,0.6955828346
1518461458.3749623299,-1726.9288529907,-499.9562422523,0.6956058046
1518461458.5753662586,-1726.6674507199,-499.7367749007,0.6957260363
1518461458.7752425671,-1726.3826579061,-499.4978501032,0.6966030093
1518461458.9753465652,-1726.0737403873,-499.2375756201,0.6966452008
1518461459.1753830910,-1725.7437298517,-498.9597429143,0.6970215543
1518461459.3748173714,-1725.3933609699,-498.6659235513,0.6961227121
1518461459.5757009983,-1725.0222668755,-498.3526933027,0.6965404491
1518461459.7748854160,-1724.6343248714,-498.0250335816,0.6968067204
1518461459.9748854637,-1724.2268334758,-497.6812812431,0.6970301734
1518461460.1751151085,-1723.8025707124,-497.3255208447,0.6960611993
1518461460.3756582737,-1723.3675082775,-496.9548292508,0.6968962111
1518461460.5753641129,-1722.9186866870,-496.5776049886,0.6966147106
1518461460.7756059170,-1722.4572457589,-496.1895940946,0.6958791667
1518461460.9751663208,-1721.9855019284,-495.7920315528,0.6965832387
1518461461.1750371456,-1721.5027125849,-495.3830549025,0.6966877620
1518461461.3750777245,-1721.0065587871,-494.9617290110,0.6967795315
1518461461.5753827095,-1720.4968935044,-494.5376174779,0.6954032703
1518461461.7749724388,-1719.9758364052,-494.1108389917,0.6917297018
1518461461.9746754169,-1719.4428634325,-493.6806085096,0.6841810090
1518461462.1748809814,-1718.8935346621,-493.2453194044,0.6751443673
1518461462.3753976822,-1718.3312582875,-492.8032405324,0.6627070568
1518461462.5753870010,-1717.7601137351,-492.3618381083,0.6476236468
1518461462.7749602795,-1717.1761125170,-491.9275074716,0.6322191117
1518461462.9754106998,-1716.5767653030,-491.5013138650,0.6135163824
1518461463.1750388145,-1715.9665333981,-491.0869629353,0.5892588278
1518461463.3751282692,-1715.3481523878,-490.6844186812,0.5636773303
1518461463.5752079487,-1714.7170148715,-490.2976512107,0.5373544459
1518461463.7757415771,-1714.0715621033,-489.9245093482,0.5080705753
1518461463.9755277634,-1713.4107728652,-489.5727857146,0.4673799535
1518461464.1751129627,-1712.7338837403,-489.2508236991,0.4224039626
1518461464.3754856586,-1712.0350946270,-488.9553779422,0.3781782225
1518461464.5750436783,-1711.3263985963,-488.6909098978,0.3316110403
1518461464.7755239010,-1710.5986633614,-488.4647735720,0.2697118800
1518461464.9754071236,-1709.8486253235,-488.2878893565,0.2042624697
1518461465.1749877930,-1709.0810450240,-488.1496547849,0.1412509218
1518461465.3747961521,-1708.3077452124,-488.0579752001,0.0707456725
1518461465.5750701427,-1707.5206283114,-488.0239735804,-0.0053379585
1518461465.7751734257,-1706.7285322416,-488.0596797618,-0.0859592855
1518461465.9753232002,-1705.9476939989,-488.1461377868,-0.1688585845
1518461466.1755156517,-1705.1639100649,-488.3055549570,-0.2429290867
1518461466.3753833771,-1704.4006657602,-488.5248242666,-0.3306459444
1518461466.5750670433,-1703.6623858974,-488.8123666572,-0.4187557443
1518461466.7751481533,-1702.9483193937,-489.1643458283,-0.4999168839
1518461466.9751431942,-1702.2648794406,-489.5726453186,-0.5813316404
